"","X1","Y1","ProbId1","X2","Y2","ProbId2","X3","Y3","ProbId3","X4","Y4","ProbId4","X5","Y5","ProbId5","X6","Y6","ProbId6","X7","Y7","ProbId7","X8","Y8","ProbId8"
"29",635.02,777.48,1,926.38,217.98,0.83043,563.31,615.12,0.85748,675.66,677.01,1,1218.2,788.06,0.99999,723.5,352.35,1,NA,NA,NA,1154.7,745.69,0.89362
"30",634.24,774.98,1,929.47,216.82,0.83043,561.78,622.48,0.85748,669.8,676.63,1,1222.9,779.55,0.99999,725.98,350.29,1,NA,NA,NA,1157,741.96,0.89362
"31",633.35,768.14,1,933.06,214.82,0.83043,561.96,629.81,0.85748,663.32,676,1,1227.5,771.45,0.99999,729.15,346.1,1,NA,NA,NA,1160.6,738.29,0.89362
"32",630.85,759.26,1,936.17,213.58,0.83043,561.85,638.32,0.85748,658.51,675.67,1,1231.2,765.15,0.99999,733.97,339.23,1,NA,NA,NA,1167.2,735.02,0.89362
"33",629,751.72,1,937.81,214.91,0.83043,561.93,645.4,0.85748,652.89,675.14,1,1234.3,759.88,0.99999,739.67,332.86,1,NA,NA,NA,1174.4,730.43,0.89362
"34",627.43,744.52,1,942.68,216.4,0.83043,562.46,652.93,0.85748,648.2,674.81,1,1237.4,754.39,0.99999,744.77,327,1,NA,NA,NA,1182.1,725.62,0.89362
"35",626.24,738.55,1,949.66,217.58,0.83043,562.89,658.83,0.85748,644.91,674.69,1,1240.2,749.51,0.99999,750.37,320.39,1,NA,NA,NA,1188.3,722.29,0.89362
"36",624.75,732.69,1,954.54,218.04,0.83043,563.5,664.93,0.85748,639.74,674.65,1,1242.4,745.41,0.99999,753.98,316.33,1,NA,NA,NA,1194.3,719.21,0.89362
"37",623.65,727.76,1,960.23,218.38,0.83043,564.05,669.84,0.85748,636.6,674.55,1,1244,738.11,0.99999,758.16,311.31,1,NA,NA,NA,1200.2,716.16,0.89362
"38",622.67,723.31,1,964.08,218.45,0.83043,564.72,674.35,0.85748,632.66,674.03,1,1246.2,725.82,0.99999,760.84,308.28,1,NA,NA,NA,1205.5,713.58,0.89362
"39",621.64,718.94,1,968.56,218.28,0.83043,565.23,678.59,0.85748,629.23,673.87,1,1250,714.59,0.99999,764.38,303.92,1,NA,NA,NA,1209.7,711.32,0.89362
"40",620.49,714.96,1,974.03,218.51,0.83043,565.76,682,0.85748,626.52,673.54,1,1252.8,703.41,0.99999,766.38,301.36,1,NA,NA,NA,1213.4,709.59,0.89362
"41",619.58,711.74,1,984.48,217.23,0.83043,568.18,688.68,0.85748,623.22,673.03,1,1255.7,691.66,0.99999,769.24,297.86,1,NA,NA,NA,1217.3,707.77,0.89362
"42",618.9,708.7,1,993.4,217.32,0.83043,570.43,696.22,0.85748,617.75,669.89,1,1258,683.67,0.99999,771.36,295.2,1,NA,NA,NA,1220.9,706.37,0.89362
"43",618,705.39,1,997.42,219.01,0.83043,572.77,703.58,0.85748,610.49,666.26,1,1260.2,676.58,0.99999,772.94,293.03,1,NA,NA,NA,1223.9,705.39,0.89362
"44",617.25,702.33,1,1009,221.87,0.83043,575.45,710.37,0.85748,603.2,663.2,1,1262.2,669.97,0.99999,774.91,290.63,1,NA,NA,NA,1227.4,704.69,0.89362
